Downloaded from wid.world on 21-02-2019 at 10:56:11
Country;Percentile;"anninc_992_i_2015
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
2015";"anweal_992_i_2015
Market-value national wealth
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
2015"
 Afghanistan;pall;3184.7875;
 Africa;pall;7021.2207;
 Albania;pall;10490.7841;
 Algeria;pall;15098.8997;
 Americas;pall;29508.0449;
 Angola;pall;9511.7095;
 Antigua and Barbuda;pall;20324.7404;
 Argentina;pall;21037.5795;
 Armenia;pall;8920.1569;
 Aruba;pall;34589.6242;
 Asia;pall;12359.7959;
 Asia (excl. Middle East);pall;11442.0576;
 Asia (excluding Middle East), Market Exchange Rate;pall;11550.2845;
 Australia;pall;39932.9666;292893.5502
 Australia and New Zealand;pall;38802.5547;
 Austria;pall;37067.7617;
 Azerbaijan;pall;18019.4748;
 Bahamas;pall;25847.4583;
 Bahrain;pall;45401.4006;
 Bangladesh;pall;4175.5746;
 Barbados;pall;14992.4619;
 Belarus;pall;14935.5997;
 Belgium;pall;35791.5755;
 Belize;pall;9381.9879;
 Benin;pall;3394.0573;
 Bhutan;pall;8693.3272;
 Bolivia;pall;8146.6063;
 Bosnia and Herzegovina;pall;10100.2284;
 Botswana;pall;18223.2864;
 Brazil;pall;15015.8925;
 Brunei Darussalam;pall;76978.0213;
 Bulgaria;pall;14958.7522;
 Burkina Faso;pall;2732.2807;
 Burundi;pall;1303.6971;
 Cabo Verde;pall;7324.3069;
 Cambodia;pall;3970.28;
 Cameroon;pall;5336.0535;
 Canada;pall;37201.4217;201369.3664
 Caribbean;pall;16339.2051;
 Central African Republic;pall;1094.0167;
 Central America;pall;17383.4121;
 Central Asia;pall;11772.5928;
 Chad;pall;3347.3441;
 Channel Islands;pall;;
 Chile;pall;22360.4924;
 China;pall;13311.252;94571.6943
 Colombia;pall;13786.7814;
 Comoros;pall;4556.2784;
 Congo;pall;8301.1852;
 Costa Rica;pall;16228.3367;
 Cote d’Ivoire;pall;5628.702;
 Croatia;pall;18205.8974;
 Cuba;pall;19408.3508;
 Curacao;pall;25493.6339;
 Cyprus;pall;30104.8471;
 Czech Republic;pall;22566.1638;
 Czechoslovakia;pall;;
 DR Congo;pall;1446.1187;
 Denmark;pall;41958.4428;
 Djibouti;pall;3929.3477;
 Dominican Republic;pall;16984.229;
 Eastern Africa;pall;3282.0598;
 Eastern Asia;pall;15676.2637;
 Eastern Europe;pall;18379.6738;
 Ecuador;pall;12567.9703;
 Egypt;pall;14463.9437;
 El Salvador;pall;9074.5603;
 Equatorial Guinea;pall;30933.6232;
 Eritrea;pall;2757.415;
 Estonia;pall;22941.9658;
 Ethiopia;pall;2838.049;
 Europe;pall;27311.5859;
 European Union;pall;30825.3438;
 Fiji;pall;9557.0916;
 Finland;pall;33597.0959;
 France;pall;34030.4016;201272.4776
 Gabon;pall;18783.2527;
 Gambia;pall;2733.0874;
 Georgia;pall;8203.8727;
 German Democratic Republic;pall;;
 Germany;pall;37615.1658;166964.2511
 Ghana;pall;5796.5248;
 Greece;pall;20051.3806;
 Grenada;pall;13555.3854;
 Guatemala;pall;10067.6292;
 Guinea;pall;2859.3791;
