ID,date_time,title,,,
et_1953,2018-10-24,中美洲經貿辦當推手！貝里斯Omolewa Osain樂團獻聲台北爵士音樂節,1,1,1
ct_4271,2018-11-07,高雄》犯錯沒影響選情！沈富雄預言韓國瑜將毫無懸念當選,2,4,3
ltn_6333,2018-11-15,「我是議會鋼鐵仁」！ 候選人穿鋼鐵人裝霸氣拜票,4,5,3
ct_6076,2018-11-20,台北》丁守中拋自住1戶免房屋稅 柯P反問：財務如何平衡？,1,1,3
ct_1139,2018-10-06,雲林》縣長參選人市場拜票 攤販怨景氣不佳買氣差,2,3,1
et_2118,2018-10-26,圖／曾銘宗點名國巨、瓦城「慣老闆」！年薪最低僅39.9萬很可惡,4,5,3
et_5083,2018-11-23, 3萬5千人擠爆蘇貞昌雙和新莊晚會　詹雅雯站台獻唱：贏你呦,2,2,2
et_1427,2018-10-20,影／呼籲獨派投姚文智　金恆偉直批：中共支持的人能投嗎,2,4,2
et_4274,2018-11-18,丁守中給予高度肯定：姚文智不是選假的！蔡英文應該全力支持,1,1,2
et_95,2018-09-22,專訪／25歲CEO古田奎輔僅國中畢業　搭起台日旅遊購物 橋樑,1,3,1
ct_3728,2018-11-02,台南》高思博提交通政見  籲鄉親別投給「西瓜」,4,5,3
et_2708,2018-11-02,張麗善請辭　李進勇酸嗆：當立委不合格　辭了無妨,1,1,2
ltn_6993,2018-11-19,民進黨高市議員第三選區 啟動配票挺3位候選人,1,3,2
et_4124,2018-11-16,影／嗆中選會屈服政院變東廠　郝龍斌：具體要求陳英鈐下台,1,2,2
ct_909,2018-10-04,高雄》陳其邁上節目 公開表示願意跟韓國瑜辯論,1,1,1
et_3320,2018-11-09,影／柯文哲捍衛「石頭湯」失敗空間　社福團體：犯錯要到什麼程度？,2,4,3
et_898,2018-10-03,2018高雄打出逆轉勝？　韓國瑜喊：黑白電影變彩色！,3,4,2
et_2471,2018-10-31,影／賴香伶傷口剝開可見顱骨　醫生三層縫合 ：她相當勇敢堅定,1,2,1
ltn_5294,2018-11-09,網友解析「Google趨勢」 質疑台灣新聞自由遭中國操弄,4,5,3
et_2078,2018-10-25,影／選前之夜場地申請搞烏龍　柯文哲：臨時拼裝車會有這問題,2,3,4
ltn_4265,2018-11-01,兩岸合拍連續劇 陸委會：政治引導,1,3,1
ct_3474,2018-10-31,金庸辭世 唐鳳：幼年深受「張三丰老師」影響,1,1,1
ct_679,2018-10-02,製造社會對立 賴清德為張天欽事件致歉,1,3,3
ct_4970,2018-11-12,「韓流」來襲!不只民進黨自作自受 黃創夏點名柯P問23字,4,5,5
ct_1335,2018-10-09,彰化》親英系民調：魏明谷支持度與王惠美呈五五波,1,3,2
et_3821,2018-11-14,影／韓國瑜召10萬人決戰岡山　網：1萬黃安到場、9萬黃安在路上,3,4,2
et_1654,2018-10-17,蘇貞昌：深澳藍綠執政都推過，不必講誰對誰錯,2,1,3
et_1040,2018-10-05,影／吳祥輝嗆「要不要來告我」　柯文哲：不要急，會輪到他,2,2,3
ct_5195,2018-11-13,北市》療癒系候選人  江宜樺首推他,5,5,5
et_2173,2018-10-27,跨黨派客家大老力挺　陳其邁：市長選舉是政策與領導力的對決,1,2,2
et_3946,2018-11-15,蔡英文稱「還是原來民進黨」　羅智強：那就不會有韓國瑜旋風,2,2,2
ltn_3106,2018-10-21,侯友宜鶯歌聯合競總成立   台下第1排驚坐張安樂,1,1,2
ltn_8019,2018-11-23,新竹縣北埔鄉又1鄉長候選人涉賄 20萬元交保,1,3,2
ltn_8089,2018-11-24,誤發平地原住民候選人選票 選民傻眼：候選人全變樣了？,2,3,3
et_3820,2018-11-14,韓國瑜選舉公報政見「十張支票」還多這四個　號稱CEO市長拚經濟,5,5,5
ltn_2214,2018-10-14,全國走透透賣力站台 馬英九：任內丟政權、用輔選贖罪,1,1,2
ltn_793,2018-10-02,反潛新戰力 派里級雙艦將成軍,2,1,2
et_683,2018-09-30,「越南周子瑜」接國慶主持棒　典禮飄多元族群風,3,4,3
et_4938,2018-11-23,新北選前之夜／侯友宜晚會走素人風　警官遺眷泛淚喊「全力支持」,2,4,2
ct_2641,2018-10-22,高雄》選舉奧步出爐 高雄警方澄清,2,4,3
ltn_5338,2018-11-10,中國「孵化器」現倒閉潮！被騙被拐失敗案例層出不窮,1,4,2
et_124,2018-09-22,姚文智邀辯論　柯P：台灣要的是解決問題的人，不是發現問題,1,1,2
ct_5651,2018-11-16,竹南鎮長候選人康世儒告抹黑 方進興陣營駁：對號入座,1,1,2
ltn_7692,2018-11-22,東奧正名公投前夕 本土社團控中華奧會意圖干涉公投,1,2,2
ct_3299,2018-10-29,清除兩蔣威權促轉會研擬新台幣改版 李明賢痛罵腦殘,1,2,1
ct_662,2018-10-02,立法院院會 國民黨立委一早再度占領杯葛,1,1,2
et_1382,2018-10-10,國慶／安檢超嚴！雨傘只能丟、水要先試喝　友邦武官也乖乖排隊,2,1,1
et_1200,2018-10-08,張忠謀一席話　李正皓︰狠打超高薪實習生吳音寧的臉,4,5,4
et_4665,2018-11-21,謝長廷秀法律證據　要韓國瑜別再扯錄音帶事件,2,3,2
ct_6275,2018-11-21,桃園》專簽補助社區　劉茂群：要一視同仁,1,2,1
ltn_3948,2018-10-30,侯友宜勤跑土城拉票   投入政壇感性談家人,2,4,2
ct_5908,2018-11-18,名嘴喊蘇貞昌會當選、姚文智超乎預期 遭酸爆,3,4,3
et_4914,2018-11-23,影／我沒有朋友但我有你們！柯文哲誓言「為台北打拼下一個4年」,2,2,1
et_3639,2018-11-12,政見會戴耳機韓國瑜「相信陳其邁」：下次辯論大家先掏耳朵,2,3,2
ltn_4407,2018-11-03,跑行程宣傳政績？柯文哲：現在做的是繼承蔣渭水命運,2,2,2
ct_5323,2018-11-14,高雄圖輯》韓國瑜岡山造勢空拍 10萬人氣勢雄壯,2,3,1
et_3368,2018-11-10,國民黨括「韓流」想搶13縣市　民進黨坦言高雄最緊張,1,1,3
ct_6235,2018-11-21,台北》抗議如影隨行 柯P仍堅持「政治要有理想性」,1,1,2
ct_5043,2018-11-12,高雄》陳其邁：完善高雄創業環境 讓資金、市場、技術、人才一次到位,1,1,1
et_2343,2018-10-29,近三成認蘇貞昌陣營較常謾罵　侯友宜：人民厭惡奧步、抹黑,1,3,2
et_1486,2018-10-19,抽到2號　侯友宜說隨緣：選票看到我的尪仔頭就蓋下去,1,1,1
ct_3153,2018-10-27,台中》賴清德：台中市長、市議員拚全部當選全壘打,1,1,2
et_719,2018-10-01,馬英九挺韓國瑜開發太平島石油　綠委轟：開採會引起軍事衝突,1,1,1
ltn_8091,2018-11-24,耗時近1小時投票 丁守中：對自己有信心,1,1,2
ltn_7295,2018-11-20,基隆第2場公辦政見發表會 林右昌細數改變成果,2,2,3
ct_7005,2018-11-24,超準！阿扁1年前預言這6縣市國民黨會翻盤,4,5,5
et_2643,2018-11-01,影／「傷勢已穩定許多」 賴香伶親筆簽名：請大家放心,1,3,2
ct_4079,2018-11-05,即時伸援手！台中市府3年增聘185名社工,1,1,1
ct_2199,2018-10-18,基隆》暖暖區新人大戰　議員8搶3,2,3,3
ct_3144,2018-10-27,高雄》韓國瑜：我60歲還在找工作 支持者喊：11／24當市長,1,1,2
ltn_8010,2018-11-23,配合他助選掃街 總統級防彈帷幕掃街車出動 ,4,5,4
ltn_3705,2018-10-28,蘇貞昌提垃圾袋降價 朱立倫批：喊價不負責任,1,1,2
ct_3525,2018-10-31,台中》蔡總統與中市里長午餐會 力挺林佳龍連任,1,1,1
ltn_3231,2018-10-22,國防部：2艘美艦今再度穿越台海,1,2,1
ct_2570,2018-10-21,高雄》韓小編：韓總不發威 被人當Hello Kitty,4,3,4
ltn_3761,2018-10-28,來踢館？ 韓國瑜要來彰化 竟先選這個地方造勢,4,5,5
ltn_6678,2018-11-17,韓國瑜鳳山晚會 宣稱開場前已湧入8萬人,1,3,1
ct_2302,2018-10-18,王世堅打賭跳海啟示錄 黃創夏：自己人有時比外人更狠,2,2,2
et_4103,2018-11-16,歌曲曝光／87樂團為韓國瑜打造　《作伙作夢》觸動人心,1,3,3
ct_2707,2018-10-23,台南》空拍記錄有氣勢！候選人最愛,3,4,3
ltn_4741,2018-11-06,向調查官刺探情資 台商十萬交保,2,3,1
ct_4551,2018-11-08,政院研議 放寬回流台商外勞核配比不超過40％,1,1,1
ct_600,2018-10-01,台中》翻轉屯區議員 籲營造便捷生活圈走出新興產業,1,2,1
et_2492,2018-10-31,國民黨成立應變小組　吳敦義下令：嚴防民進黨「奧步18招」,4,4,5
ct_6803,2018-11-24,新竹》投票前先拜拜 楊文科全家出動助陣,1,1,1
ltn_5263,2018-11-09,粉專遭洗版蓋樓破126萬 邱議瑩霸氣大笑「哈哈哈」,3,2,3
et_2972,2018-11-06,質疑綠營「棄姚保柯」丁守中：白綠合謀、柯蔡合作,1,1,2
et_361,2018-09-25,影／傅崐萁入監現場湧入眾多支持者喊加油　「八個月後又是一條好漢」,2,2,2
ltn_2573,2018-10-17,南下助選   馬英九評估全國選情：要加油！,1,3,1
et_5419,2018-11-24,北市投票排隊等2小時！緊急加開800圈票處仍塞爆,1,1,1
et_3587,2018-11-12,影／落選怎麼辦...　柯文哲：這投完票再開始煩惱,1,1,3
et_106,2018-09-22,梵蒂岡宣布與陸達成歷史性協議　外交部：不影響台梵邦交,1,3,2
ltn_4560,2018-11-04,挑戰10連任市議員 竹市鄭成光競總成立,1,1,1
ltn_1208,2018-10-05,傳遞建國聖火 台南獨派議員期勉兒子為台灣建國打拼,1,3,3
et_2730,2018-11-02,陳菊替蘇貞昌電話拜票　侯友宜：市民就是我的大咖,1,1,2
et_3769,2018-11-13,韓國瑜大勝陳其邁17%　台灣競爭力論壇分析3大原因,4,4,5
ct_3608,2018-11-01,高雄》韓國瑜「海軍」也出現了 航運界之友會成立,2,1,3
et_2472,2018-10-31,北漂座談第二場　韓國瑜今晚7點跟青年暢聊,1,1,2
ltn_7499,2018-11-21,藍營「黨內互打」！徐巧芯批背離韓總價值 王正德霸氣回嗆,3,4,4
ltn_3454,2018-10-25,鞏固藍軍基本盤  國民黨新竹黨部辦光復紀念活動,1,1,1
et_210,2018-09-20,影／綠委批侯影片移花接木　柯志恩：民進黨聞「假」色變、看到黑影就開槍！,1,2,3
et_377,2018-09-25,中梵選前建交可能性高？陳水扁：民進黨選情將雪上加霜,2,3,2
ltn_4949,2018-11-07,姚「欣然接受大咖顧高雄」洪耀福：輔選按計畫全面開戰,1,2,2
et_761,2018-10-02,影／遭《屠殺》作者批騙子　柯文哲6點聲明「強烈抗議」,4,4,5
ct_5584,2018-11-16,新北》批對手惡意抹黑 侯友宜：政治汙染燃煤工廠,1,1,2
ltn_6571,2018-11-17,盧秀燕姊妹花 車隊掃街,2,1,1
ct_5764,2018-11-17,吳敦義說肥滋滋那個害黃俊英 南辦執行長：未指名道姓,3,4,2
ct_4615,2018-11-09,小野一哭有多可怕？一張圖說明他讓丁守中一飛沖天！,5,5,5
ct_5933,2018-11-19,台北》萬人相挺內心激動 姚文智：晚會現場才決定請辭,1,1,2
ct_1560,2018-10-11,六都市長候選人住宅政策大PK 雙北四人拿五星,1,3,3
ltn_350,2018-09-27,陳致中遭爆進招待所  李茂生：豬哥一堆你不會寂寞,2,3,2
et_2069,2018-10-25,影／ATP最關鍵！交叉比對機器解讀、駕駛說法　事故原因29日出爐,4,5,3
et_2858,2018-11-04,影／造勢違法遭指「明知故犯」　柯文哲：回去檢討,1,3,2
ltn_865,2018-10-02,徐欣瑩辦音樂會 柯P幫拍宣傳片,1,1,1
ct_3189,2018-10-28,新北》廖裕德溪崑後援會成立  逾千名鄉親熱情相挺,1,1,1
et_1086,2018-10-06,賴清德停建深澳救選情？蘇貞昌：冷嘲熱諷解決不了能源問題,1,2,2
ct_5488,2018-11-15,高雄》超強！新高雄伊索寓言 暗諷陳其邁政見,4,5,4
ct_5562,2018-11-16,雲林》張麗善用滷肉飯行銷故鄉農產,1,1,1
et_3689,2018-11-13,雲林選情五五開　李進勇冷處理張麗善拚網路聲量,1,2,2
ltn_6133,2018-11-14,紙風車臉書遭「夜襲」 PTT網友相挺：韓粉跟黃安一夥的,1,3,2
ct_2268,2018-10-18,《能源大小事 鳳馨幫你問明白》核電廠安全 不是靠想像,1,3,3
ltn_7574,2018-11-22,劉櫂豪搶攻東市大票倉 宣傳車上拜票兼開講,1,1,1
ltn_4091,2018-10-31,競選罰單要自己付  柯P直呼：晴天霹靂！,2,2,2
ltn_1542,2018-10-08,劉櫂豪挺台東青年創業   當選縣長後設新創基金1億元,1,3,1
ltn_3990,2018-10-30,距離投票日只剩20多天 盧秀燕不但打空戰也打陸戰,2,4,3
ct_2106,2018-10-17,誰殺了大巨蛋？ 柯市長毀蛋破千日,4,5,3
ltn_2272,2018-10-14,海廢之牆創作 澎縣長候選人翁珍聖盼全民重視海廢問題,1,2,1
ct_2339,2018-10-19,高雄》高雄市長選情  親英系民調  陳其邁支持度領先韓國瑜7.3個百分點,1,1,1
et_4575,2018-11-20,影／暗酸韓國瑜　蘇貞昌：讓新北市民了解為何侯友宜不敢交叉詰問,2,3,3
ltn_4322,2018-11-02,國民黨擁300萬件黨史資料 僅報4萬件給促轉會交差,3,4,3
et_5189,2018-11-24,打過美好一仗　高思博：後會有期永遠是鄉親！,3,1,2
et_5217,2018-11-24,姚文智敗選　支持者大喊：洪耀福、黨中央要負責！,1,1,2
ltn_3232,2018-10-22,國台辦否認介入選舉還反咬民進黨 陸委會回擊籲尊重民主,1,1,2
ct_642,2018-10-01,張善政串聯對抗空汙大聯盟 丁守中響應力推肺癌篩檢補助,1,1,1
ltn_772,2018-10-01,駁連署書查對不公 中選會：不實指控會提告,1,1,1
ct_6221,2018-11-21,E奶網紅力挺韓國瑜 猛批陳其邁格局小「只會死讀書」,4,4,4
ct_5746,2018-11-17,台北》陳其邁、韓國瑜陣營找合體都婉拒 柯Ｐ：兩邊都是朋友,1,1,2
ct_6562,2018-11-23,花蓮》藍營原民之夜  頭目高唱〈夜襲〉助興,1,1,1
ct_3848,2018-11-03,台中》批網路花博晚會鬧場假訊息栽贓   盧秀燕宣布：「不出席」但祝福,1,3,2
ct_4614,2018-11-09,台北》丁守中提出都更3箭　林洲民批：提高容積會毀滅城市,2,4,4
et_2512,2018-10-31,影／3個月花1513萬！柯文哲請假公布選舉財務　嗆丁姚趕快公布,1,3,2
ltn_3798,2018-10-29,陪睡招商風波 邱議瑩控遭獵巫：該譴責的是韓國瑜,1,2,2
ct_4992,2018-11-12,綠委怨網路轉傳民調無法可管 政院：與3大社群媒體溝通,2,3,2
ltn_4765,2018-11-06,柯P出席市府活動   再遭台獨人士闖入抗議,1,1,3
ltn_7962,2018-11-23,蘇貞昌選前之夜 產業創生代表站台推薦,1,2,3
et_3922,2018-11-15,快訊／韓國瑜震怒！瘋傳抹紅「中共台灣接班人」　張雅琴：要告了,4,5,4
et_1941,2018-10-24,台鐵糗了！政院初步報告：司機有告知調度員ATP關閉,1,2,2
et_3306,2018-11-09,立院三讀　替代役男因公成殘將核發贍養金,1,1,1
et_3183,2018-11-08,一條鞭拉台商回台落地生產　賴清德：研議適度放寬外勞機制,1,2,2
ct_4060,2018-11-05,叫好又叫座！台中花博開幕晚會逾百萬人收看轉播,1,1,2
ltn_3306,2018-10-23,宗教基本法草案凍結 提案人王金平也撤簽,1,3,1
ct_520,2018-09-30,高雄》孫大千要藍大老別扯後腿 韓國瑜爆：「穿西裝」都不喜歡我,2,4,3
et_2093,2018-10-25,影／駕駛處理故障又要看儀表板！黃國昌怒轟：台鐵拿國人生命開玩笑,1,3,2
ct_2569,2018-10-21,高雄》韓國瑜人氣夯 網喊最該感謝的人不是王世堅而是...,4,5,5
ltn_5439,2018-11-10,高市電視辯論》民間團體提問民眾參與市府決策   4候選人都認同,1,1,2
et_1438,2018-10-20,周美青、陳佩琪誰影響力大？柯文哲：不要害我,3,3,4
et_1536,2018-10-18,當作沒政府？林姿妙兒女遭爆越界開採　居民：山頭禿了,3,4,3
ltn_8031,2018-11-23,選前之夜 徐欣瑩：擺脫新竹縣舊政治的歷史包袱,1,2,2
et_1731,2018-10-22,影／普悠瑪翻車看到台灣的團結　蔡英文擁抱傷者：早日康復　罹難者安息,1,2,1
et_1750,2018-10-22,影／真如段宜康稱招標放水？黃偉哲：那不可原諒！應全面性調查,1,3,2
ct_4264,2018-11-07,新北》中和晚會熱情高歌  蘇貞昌：讓新北與國際接軌！,1,1,1
ltn_478,2018-09-28,姚文智：柯P不可信賴 當首都市長會替台灣帶來危害,1,1,2
et_3976,2018-11-15,侯友宜澄清沒逃稅　林俊憲：被我檢舉才在7月補稅,1,2,2
ct_6877,2018-11-24,《中時晚間快報》11／24之亂 投票如馬拉松民怨沸騰,3,3,3
ltn_4929,2018-11-07,涉遷幽靈人口  東檢首押1里長候選人獲准,1,2,3
ltn_5110,2018-11-08,談25年前痛毆阿扁 韓國瑜：前總統應心胸開闊一點,1,2,2
et_2444,2018-10-30,留言比粉絲多！網友見證邱議瑩的「臉書奇蹟」,3,4,4
et_4100,2018-11-16,weCARE／高雄大氣球遊行造勢　50輛哈雷機車隊響應,1,1,1
ct_4812,2018-11-10,丁、姚、連公布競選費用　柯Ｐ不滿怒喊：辱台灣人智商,1,3,2
et_2782,2018-11-03,觀塘案太晚通知打到桃園選情　賴清德向鄭文燦坦言「很抱歉」,1,2,2
ltn_3939,2018-10-30,國民黨「韓流」夯 徐耀昌大摸韓國瑜禿頭,1,1,1
et_1027,2018-10-05,嗆柯文哲自負　丁守中：為什麼還怕電視辯論？,1,1,3
ltn_3406,2018-10-25,3台人涉愛知縣最大安毒走私遭捕 外交部：已派員探視,2,4,3
et_2392,2018-10-30,影／被拱示範館長招牌「深蹲」 韓國瑜出奇招K.O北漂青年,2,4,3
ltn_2725,2018-10-18,川普提名史迪威任亞太助卿 國防部：台美溝通正常順遂 ,1,1,1
et_5223,2018-11-24,林右昌連任成功　基隆市續擁綠地,1,1,1
et_1707,2018-10-22,韓國瑜屏東活動人數爆棚破萬　蔣萬安：我被圈粉了♥,3,1,2
ct_4429,2018-11-08,高雄》民進黨炮火轉移 媒體人：高雄真的緊張了,2,3,2
et_4370,2018-11-19,辯論後兩人擁抱交頭接耳？韓國瑜：反正不是在說愛你一萬年,2,2,3
ct_702,2018-10-02,反空汙公投死亡連署人逾萬   新勇哥物語：鬼月阿飄也連署,2,3,3
ltn_6075,2018-11-14,陳定南遺孀挺蘇貞昌 籲選錯人就來不及了,1,1,2
ltn_4743,2018-11-06,黃士修稱蘭嶼反核是為回饋金 瑪拉歐斯忿下辯論戰帖,1,1,1
ltn_3961,2018-10-30,轟侯友宜威權觀念未進步 蘇貞昌：若是今天不會用他擔任警政署長,1,2,2
ct_1503,2018-10-10,泛藍自辦國慶大會　馬英九談蔡英文國慶演說：感慨萬千,2,3,2
ltn_523,2018-09-29,陳菊與陳其邁參拜左營廟宇 這個動作頗有傳承意味,4,5,5
ltn_5523,2018-11-11,信心滿滿！批柯複誦念稿 姚文智：比賽才進入七局下半,3,4,2
et_4027,2018-11-15,三巨頭合體／韓國瑜：民進黨執政錯誤偏差　距離人民富強愈來愈遠,2,2,2
et_3833,2018-11-14,岡山大會師／小黃義勇軍免費接駁　南岡山站外「列隊」載韓粉,2,1,2
ct_2861,2018-10-24,柯P質疑小英公宅政策失當 府：柯市長記錯了,2,2,2
ct_6216,2018-11-21,新竹》市議員候選人曾文濤環保袋當選舉小物 詢問度高！,2,1,2
ltn_704,2018-10-01,派里級巡防艦預計11月後成軍 可有效嚇阻中國潛艦,1,1,1
ct_3369,2018-10-30,新北》侯友宜掃街 籲民眾風雨無阻一定要出來投票,1,1,1
et_3136,2018-11-07,影／韓國瑜秒答願同床睡　王世堅：這福份應留給柯文哲，我會打呼,2,3,2
ltn_2621,2018-10-18,聯電操演 阿帕契模擬 共軍從東海岸攻佳山,1,3,1
et_2308,2018-10-28,影／槓黨產會「搶藍營票」？　柯文哲：搶藍營丟綠營，何必呢？,2,2,2
et_2134,2018-10-26,影／賴清德要對台鐵總體檢　王定宇建議納入鐵道迷意見,1,1,2
et_3532,2018-11-11,你喝了嗎？蘇貞昌教你配出黃金比例蜂蜜檸檬水,3,4,3
et_4848,2018-11-22,影／賴清德嗆涂們台灣大陸是兩個國家　柯P：台灣民主政治非常穩固,1,1,2
ct_6522,2018-11-22,藍軍議會過半最關鍵一席　蔡武宏車隊掃街全力衝刺,1,1,1
ct_5233,2018-11-14,韓粉這麼做...韓國瑜黃金週加碼唱「愛你一萬年」,4,5,4
ltn_588,2018-09-30,侯友宜競選總部成立   獨缺黨主席吳敦義站台,1,2,1
ltn_57,2018-09-25,小英輔選劉櫂豪 軌道建設挺台東,1,1,1
ct_86,2018-09-25,台中》中市長輩出門搭小黃 敬老愛心卡幫你付車資,1,1,1
ct_2128,2018-10-17,台灣申請國際刑警組織觀察員 徐國勇籲陸勿阻撓,1,1,2
et_266,2018-09-19,謝長廷避談個人進退 　羅智強：說退出政壇退了10年還沒退,1,2,2
ct_1438,2018-10-10,郁慕明：民進黨把中華民國偷樑換柱 所以不去總統府的國慶典禮,1,3,2
ltn_1938,2018-10-11,吳敦義批蔡政府經濟最差 徐佳青：當年藍執政曾負成長,1,1,2
ct_3201,2018-10-28,台中》角逐5連霸！市議員陳清龍競總成立 湧進上千人力挺,1,2,2
et_599,2018-09-29,快去看戶頭！新北續發1500元重陽敬老金　現金匯款都可領,1,3,1
ltn_2611,2018-10-17,中國國台辦批蔡總統和賴揆 陸委會：粗鄙,2,3,2
et_4026,2018-11-15,影／12場造勢走遍新北　蘇貞昌選前之夜「板橋」對決侯友宜,3,2,1
et_3660,2018-11-13,台中政見會／「過去四年你過的好嗎？」　盧秀燕主攻經濟空污,1,3,1
ct_5681,2018-11-16,獨家》超狂！攤商搶卡位發財 韓粉《夜襲》當晚安曲,5,3,4
et_4515,2018-11-20,他們都是政治新人　國民黨「九新連珠」：一個都不能少,4,5,4
ct_233,2018-09-26,國民黨選舉「固本」 出席黨員比2016年多5成,2,2,1
ltn_2902,2018-10-19,彰化縣議員候選人號次 一次看個夠！,5,5,4
et_3504,2018-11-11,「蜂蜜檸檬」解決健保、長照問題　吳萼洋：可遠離所有病苦,3,4,2
ct_2064,2018-10-16,選舉保證金發還補助款領取 皆須過門檻,1,1,1
et_1867,2018-10-23, 韓國瑜「笑嘻嘻」面對陳其邁穩穩領先　繼續加油往前衝,4,3,2
