page_id,page_name,type,type_sub,page_url,politician_name,party,chamber,state,district_rep,main_page,post_count
184179159166,Governor Robert Bentley,figure,politician,https://www.facebook.com/GovernorRobertBentley/,Robert J. Bentley,Republican,Governor,Alabama,Alabama,1,116
50850514797,Senator Richard Shelby,figure,politician,https://www.facebook.com/RichardShelby/,Richard Shelby,Republican,Senate,Alabama,Alabama,1,100
119152728153461,Ron Crumpton for U.S. Senate,figure,politician,https://www.facebook.com/Crumpton2016/,Ron Crumpton,Democratic,Senate,Alabama,Alabama,1,1
1374832002773140,U.S. Representative Bradley Byrne,figure,politician,https://www.facebook.com/RepByrne/,Bradley Byrne,Republican,House,Alabama,Alabama 1,0,NA
113184250589,Bradley Byrne,figure,politician,https://www.facebook.com/byrneforalabama/,Bradley Byrne,Republican,House,Alabama,Alabama 1,1,173
119448323032,Martha Roby for Congress,figure,politician,https://www.facebook.com/Martha-Roby-for-Congress-119448323032/,Martha Roby,Republican,House,Alabama,Alabama 2,0,58
174519582574426,Representative Martha Roby,figure,politician,https://www.facebook.com/Representative.Martha.Roby/,Martha Roby,Republican,House,Alabama,Alabama 2,1,184
167124697074779,"Nathan Mathis for U.S. Representative, Alabama - District 2",figure,politician,https://www.facebook.com/NathanMathis4District2/,Nathan Mathis,Democratic,House,Alabama,Alabama 2,1,39
427729637333509,Jesse T. Smith,figure,politician,https://www.facebook.com/JesseTSmithAL/,Jesse Smith,Democratic,House,Alabama,Alabama 3,1,710
168209963203416,Mike Rogers,figure,politician,https://www.facebook.com/ChairmanMikeRogers/,Mike Rogers,Republican,House,Alabama,Alabama 3,1,2
19787529402,Robert Aderholt,figure,politician,https://www.facebook.com/RobertAderholt/,Robert Aderholt,Republican,House,Alabama,Alabama 4,1,1
155220881193244,Congressman Mo Brooks,figure,politician,https://www.facebook.com/RepMoBrooks/,Mo Brooks,Republican,House,Alabama,Alabama 5,1,50
741039376021709,Dr. Will Boyd for Congress,figure,politician,https://www.facebook.com/willboydforcongress/,Will Boyd,Democratic,House,Alabama,Alabama 5,1,299
1091477490937000,Will Boyd,figure,politician,https://www.facebook.com/drwillboydjr/,Will Boyd,Democratic,House,Alabama,Alabama 5,0,NA
149145758777509,David J. Putman For Congress,figure,politician,https://www.facebook.com/PutmanForCongress/,David Putman,Democratic,House,Alabama,Alabama 6,1,62
238609612987036,Gary Palmer for Alabama,figure,politician,https://www.facebook.com/PalmerforAlabama/,Gary Palmer,Republican,House,Alabama,Alabama 6,1,3
545855605545009,Congressman Gary Palmer,figure,politician,https://www.facebook.com/CongressmanGaryPalmer/,Gary Palmer,Republican,House,Alabama,Alabama 6,0,1
117758198297225,Terri A. Sewell,figure,politician,https://www.facebook.com/RepSewell/,Terri A. Sewell,Democratic,House,Alabama,Alabama 7,1,150
1494136594208400,Alaska Governor Bill Walker,figure,politician,https://www.facebook.com/Governor.BillWalker/,Bill Walker,Independent,Governor,Alaska,Alaska,1,NA
210333902420876,Sean Parnell,figure,politician,https://www.facebook.com/The.Official.Sean.Parnell.Page/,Sean Parnell,Republican,Governor,Alaska,Alaska,1,27
698400060189827,Dan Sullivan,figure,politician,https://www.facebook.com/DanSullivanforAlaska/,Dan Sullivan,Republican,Senate,Alaska,Alaska,1,1
1499142123704270,Senator Dan Sullivan,figure,politician,https://www.facebook.com/SenDanSullivan/,Dan Sullivan,Republican,Senate,Alaska,Alaska,0,NA
150957204942258,Joe Miller,figure,politician,https://www.facebook.com/JoeMillerOfficial/,Joe Miller,Libertarian,Senate,Alaska,Alaska,1,20
25271170290,Lisa Murkowski,figure,politician,https://www.facebook.com/SenLisaMurkowski/,Lisa Murkowski,Republican,Senate,Alaska,Alaska,1,395
868595699905498,Lisa Murkowski,figure,politician,https://www.facebook.com/lisaforalaska/,Lisa Murkowski,Republican,Senate,Alaska,Alaska,0,1
1199749856719970,Margaret Stock,figure,politician,https://www.facebook.com/margaretforalaska/,Margaret Stock,Independent,Senate,Alaska,Alaska,1,NA
1645812199071090,Ray Metcalfe,figure,politician,https://www.facebook.com/RayforUSSenate/,Ray Metcalfe,Democratic,Senate,Alaska,Alaska,1,NA
