statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
107,65000010001,新北市板橋區,留侯里,1431,4,0,1,2,52,31,12,7,150,167,54,48,38,34,8,4,51,31,0,0,73,58,15,18,106,145,19,15,2,4,40,74,2,5,12,37,0,0,26,70,1,7,1,2,0,5
107,65000010002,新北市板橋區,流芳里,1337,7,3,2,2,48,39,16,14,151,198,41,38,36,46,3,3,46,43,2,2,60,49,21,19,73,109,15,9,7,8,29,42,5,10,20,22,0,0,31,59,0,5,0,0,0,4
107,65000010003,新北市板橋區,赤松里,707,5,1,0,0,31,32,6,2,98,99,36,19,8,20,3,2,25,26,1,1,27,24,14,11,37,51,8,6,1,0,22,19,2,4,0,2,0,0,18,33,1,5,0,0,1,6
107,65000010004,新北市板橋區,黃石里,933,2,2,3,0,17,30,2,3,107,107,42,17,25,37,3,4,25,16,1,0,48,54,21,16,73,76,7,13,4,3,37,38,5,4,1,1,0,0,29,51,0,3,0,1,1,4
107,65000010005,新北市板橋區,挹秀里,1631,14,6,7,2,80,60,17,16,214,232,63,42,52,63,11,6,74,48,1,3,56,66,22,21,102,126,22,13,0,3,34,54,7,7,1,0,0,0,18,54,6,4,0,1,1,2
107,65000010006,新北市板橋區,湳興里,4875,5,4,5,4,150,112,42,28,474,545,150,143,132,141,22,24,146,116,12,4,157,153,59,54,382,463,99,81,8,19,233,277,23,32,4,7,0,0,171,319,8,29,3,10,3,22
107,65000010007,新北市板橋區,新興里,2974,4,3,9,2,88,69,27,14,271,323,92,68,78,92,16,9,81,86,6,2,114,102,40,43,232,247,53,36,9,10,152,178,16,16,5,8,3,1,105,218,5,15,0,3,1,22
107,65000010008,新北市板橋區,社後里,8721,10,5,10,6,180,97,42,37,653,635,240,187,224,177,50,42,241,153,20,13,420,279,196,92,839,677,305,157,20,20,826,543,171,87,12,5,8,1,402,470,37,48,10,13,19,42
107,65000010009,新北市板橋區,香社里,3909,5,3,4,1,90,61,25,15,357,385,142,112,97,114,41,21,108,79,11,5,160,113,45,38,343,350,96,61,17,17,237,234,17,26,2,1,0,1,141,296,4,15,1,2,2,14
107,65000010010,新北市板橋區,中正里,3919,6,2,0,1,95,53,22,21,371,402,123,110,87,115,21,15,84,73,4,5,109,111,47,50,352,378,111,72,6,14,275,238,26,31,1,2,0,0,145,282,9,10,1,4,3,32
107,65000010011,新北市板橋區,自強里,4674,30,6,18,1,269,164,55,52,687,747,130,131,144,137,22,15,172,154,6,11,157,126,47,50,248,360,56,32,11,7,100,166,20,21,1,2,0,0,76,193,11,14,0,4,1,20
107,65000010012,新北市板橋區,自立里,2582,8,1,3,2,66,49,19,17,232,274,91,65,76,78,16,7,63,61,4,1,85,71,36,33,221,197,66,37,5,7,135,184,21,17,1,1,0,0,92,200,3,11,2,7,2,15
