statistic_yyy,district_code,site_id,village,single_age_15down_m,single_age_15_19_m,single_age_20_24_m,single_age_25_29_m,single_age_30_34_m,single_age_35_39_m,single_age_40_44_m,single_age_45_49_m,single_age_50_54_m,single_age_55_59_m,single_age_60_64_m,single_age_65_69_m,single_age_70_74_m,single_age_75_79_m,single_age_80_84_m,single_age_85_89_m,single_age_90_94_m,single_age_95_99_m,single_age_100up_m,single_age_15down_f,single_age_15_19_f,single_age_20_24_f,single_age_25_29_f,single_age_30_34_f,single_age_35_39_f,single_age_40_44_f,single_age_45_49_f,single_age_50_54_f,single_age_55_59_f,single_age_60_64_f,single_age_65_69_f,single_age_70_74_f,single_age_75_79_f,single_age_80_84_f,single_age_85_89_f,single_age_90_94_f,single_age_95_99_f,single_age_100up_f,married_15down_m,married_15_19_m,married_20_24_m,married_25_29_m,married_30_34_m,married_35_39_m,married_40_44_m,married_45_49_m,married_50_54_m,married_55_59_m,married_60_64_m,married_65_69_m,married_70_74_m,married_75_79_m,married_80_84_m,married_85_89_m,married_90_94_m,married_95_99_m,married_100up_m,married_15down_f,married_15_19_f,married_20_24_f,married_25_29_f,married_30_34_f,married_35_39_f,married_40_44_f,married_45_49_f,married_50_54_f,married_55_59_f,married_60_64_f,married_65_69_f,married_70_74_f,married_75_79_f,married_80_84_f,married_85_89_f,married_90_94_f,married_95_99_f,married_100up_f,divorced_15down_m,divorced_15_19_m,divorced_20_24_m,divorced_25_29_m,divorced_30_34_m,divorced_35_39_m,divorced_40_44_m,divorced_45_49_m,divorced_50_54_m,divorced_55_59_m,divorced_60_64_m,divorced_65_69_m,divorced_70_74_m,divorced_75_79_m,divorced_80_84_m,divorced_85_89_m,divorced_90_94_m,divorced_95_99_m,divorced_100up_m,divorced_15down_f,divorced_15_19_f,divorced_20_24_f,divorced_25_29_f,divorced_30_34_f,divorced_35_39_f,divorced_40_44_f,divorced_45_49_f,divorced_50_54_f,divorced_55_59_f,divorced_60_64_f,divorced_65_69_f,divorced_70_74_f,divorced_75_79_f,divorced_80_84_f,divorced_85_89_f,divorced_90_94_f,divorced_95_99_f,divorced_100up_f,widowed_15down_m,widowed_15_19_m,widowed_20_24_m,widowed_25_29_m,widowed_30_34_m,widowed_35_39_m,widowed_40_44_m,widowed_45_49_m,widowed_50_54_m,widowed_55_59_m,widowed_60_64_m,widowed_65_69_m,widowed_70_74_m,widowed_75_79_m,widowed_80_84_m,widowed_85_89_m,widowed_90_94_m,widowed_95_99_m,widowed_100up_m,widowed_15down_f,widowed_15_19_f,widowed_20_24_f,widowed_25_29_f,widowed_30_34_f,widowed_35_39_f,widowed_40_44_f,widowed_45_49_f,widowed_50_54_f,widowed_55_59_f,widowed_60_64_f,widowed_65_69_f,widowed_70_74_f,widowed_75_79_f,widowed_80_84_f,widowed_85_89_f,widowed_90_94_f,widowed_95_99_f,widowed_100up_f
統計年,區域別代碼,區域別,村里,未滿15歲未婚_男,15~19歲未婚_男,20~24歲未婚_男,25~29歲未婚_男,30~34歲未婚_男,35~39歲未婚_男,40~44歲未婚_男,45~49歲未婚_男,50~54歲未婚_男,55~59歲未婚_男,60~64歲未婚_男,65~69歲未婚_男,70~74歲未婚_男,75~79歲未婚_男,80~84歲未婚_男,85~89歲未婚_男,90~94歲未婚_男,95~99歲未婚_男,100歲以上未婚_男,未滿15歲未婚_女,15~19歲未婚_女,20~24歲未婚_女,25~29歲未婚_女,30~34歲未婚_女,35~39歲未婚_女,40~44歲未婚_女,45~49歲未婚_女,50~54歲未婚_女,55~59歲未婚_女,60~64歲未婚_女,65~69歲未婚_女,70~74歲未婚_女,75~79歲未婚_女,80~84歲未婚_女,85~89歲未婚_女,90~94歲未婚_女,95~99歲未婚_女,100歲以上未婚_女,未滿15歲有偶_男,15~19歲有偶_男,20~24歲有偶_男,25~29歲有偶_男,30~34歲有偶_男,35~39歲有偶_男,40~44歲有偶_男,45~49歲有偶_男,50~54歲有偶_男,55~59歲有偶_男,60~64歲有偶_男,65~69歲有偶_男,70~74歲有偶_男,75~79歲有偶_男,80~84歲有偶_男,85~89歲有偶_男,90~94歲有偶_男,95~99歲有偶_男,100歲以上有偶_男,未滿15歲有偶_女,15~19歲有偶_女,20~24歲有偶_女,25~29歲有偶_女,30~34歲有偶_女,35~39歲有偶_女,40~44歲有偶_女,45~49歲有偶_女,50~54歲有偶_女,55~59歲有偶_女,60~64歲有偶_女,65~69歲有偶_女,70~74歲有偶_女,75~79歲有偶_女,80~84歲有偶_女,85~89歲有偶_女,90~94歲有偶_女,95~99歲有偶_女,100歲以上有偶_女,未滿15歲離婚_男,15~19歲離婚_男,20~24歲離婚_男,25~29歲離婚_男,30~34歲離婚_男,35~39歲離婚_男,40~44歲離婚_男,45~49歲離婚_男,50~54歲離婚_男,55~59歲離婚_男,60~64歲離婚_男,65~69歲離婚_男,70~74歲離婚_男,75~79歲離婚_男,80~84歲離婚_男,85~89歲離婚_男,90~94歲離婚_男,95~99歲離婚_男,100歲以上離婚_男,未滿15歲離婚_女,15~19歲離婚_女,20~24歲離婚_女,25~29歲離婚_女,30~34歲離婚_女,35~39歲離婚_女,40~44歲離婚_女,45~49歲離婚_女,50~54歲離婚_女,55~59歲離婚_女,60~64歲離婚_女,65~69歲離婚_女,70~74歲離婚_女,75~79歲離婚_女,80~84歲離婚_女,85~89歲離婚_女,90~94歲離婚_女,95~99歲離婚_女,100歲以上離婚_女,未滿15歲喪偶_男,15~19歲喪偶_男,20~24歲喪偶_男,25~29歲喪偶_男,30~34歲喪偶_男,35~39歲喪偶_男,40~44歲喪偶_男,45~49歲喪偶_男,50~54歲喪偶_男,55~59歲喪偶_男,60~64歲喪偶_男,65~69歲喪偶_男,70~74歲喪偶_男,75~79歲喪偶_男,80~84歲喪偶_男,85~89歲喪偶_男,90~94歲喪偶_男,95~99歲喪偶_男,100歲以上喪偶_男,未滿15歲喪偶_女,15~19歲喪偶_女,20~24歲喪偶_女,25~29歲喪偶_女,30~34歲喪偶_女,35~39歲喪偶_女,40~44歲喪偶_女,45~49歲喪偶_女,50~54歲喪偶_女,55~59歲喪偶_女,60~64歲喪偶_女,65~69歲喪偶_女,70~74歲喪偶_女,75~79歲喪偶_女,80~84歲喪偶_女,85~89歲喪偶_女,90~94歲喪偶_女,95~99歲喪偶_女,100歲以上喪偶_女
107,65000010001,新北市板橋區,留侯里,118,36,44,57,39,30,18,10,9,10,3,3,2,1,1,0,0,1,0,100,34,37,53,34,24,20,9,11,7,6,7,2,0,1,1,1,0,0,0,0,0,1,13,30,32,33,31,52,49,40,22,11,11,3,1,1,0,0,0,0,3,23,38,35,45,34,50,50,33,17,7,5,0,0,0,0,0,0,0,0,2,4,5,6,15,12,6,9,0,3,0,0,0,0,0,0,0,0,3,1,11,10,15,12,13,15,12,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,2,0,0,0,0,0,0,0,1,0,0,2,4,6,5,11,9,10,12,9,3,1,1
107,65000010002,新北市板橋區,流芳里,119,35,52,41,24,30,19,16,6,10,6,4,3,1,0,0,0,0,0,108,38,35,42,32,29,24,21,11,8,9,10,4,0,0,1,0,0,0,0,0,0,1,14,28,32,23,30,46,35,37,17,18,11,10,1,1,0,0,0,2,6,10,46,48,37,34,44,33,31,12,6,9,0,0,1,0,0,0,0,0,0,0,2,7,6,13,5,10,1,1,1,0,0,0,0,0,0,0,1,1,3,8,14,12,15,9,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,1,2,1,0,0,0,0,0,0,0,1,0,1,1,1,9,8,7,12,15,7,3,0
107,65000010003,新北市板橋區,赤松里,60,25,31,14,9,11,10,8,6,4,4,2,1,0,0,0,0,0,0,73,17,29,19,12,8,6,7,4,3,4,1,3,3,1,0,1,0,1,0,0,0,6,5,22,12,20,23,27,15,20,13,11,11,1,1,0,0,0,0,1,4,9,23,29,25,13,22,18,18,16,7,2,0,0,0,0,0,0,0,1,1,5,3,1,3,4,3,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4,5,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,4,4,2,7,6,3,4,2,0,0
107,65000010004,新北市板橋區,黃石里,113,36,30,29,28,18,11,6,2,6,0,1,0,0,1,0,0,0,1,90,19,22,25,23,8,9,9,6,3,0,3,1,2,2,0,0,0,0,0,0,0,4,16,14,32,12,29,26,30,27,20,12,7,12,2,0,0,0,0,2,7,12,38,36,35,24,25,25,34,9,5,4,7,1,0,0,0,0,0,0,0,3,3,5,3,5,6,2,0,3,0,0,0,1,0,0,0,0,0,3,3,4,3,5,9,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,6,12,5,4,2,0
107,65000010005,新北市板橋區,挹秀里,123,39,60,58,35,27,22,10,9,10,7,7,1,1,1,1,0,1,0,150,38,52,60,35,20,18,14,13,9,4,12,4,0,2,0,0,0,0,0,0,0,6,13,36,43,38,44,56,60,56,30,23,13,7,5,1,0,0,0,1,5,20,41,49,48,48,56,48,48,27,15,10,2,0,0,0,0,0,1,2,3,3,5,8,7,7,12,10,2,0,0,0,0,0,0,0,0,1,1,2,4,8,6,8,4,9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,3,3,4,3,1,0,0,0,0,0,0,1,2,1,2,7,6,10,10,10,12,11,7,1,0
107,65000010006,新北市板橋區,湳興里,351,132,151,163,126,114,80,54,34,14,16,7,2,1,1,0,0,0,1,321,126,151,141,115,87,54,57,27,23,14,17,4,2,0,3,1,0,0,0,0,3,15,65,126,131,110,121,138,142,114,56,57,20,17,6,0,0,0,1,6,29,100,147,137,139,121,157,149,105,45,34,15,2,0,0,0,0,0,0,4,8,13,24,39,40,27,22,19,4,4,4,2,0,0,0,0,0,3,4,18,30,41,44,38,44,31,34,8,2,2,1,0,0,0,0,0,0,0,0,0,0,2,3,3,9,12,7,8,5,8,4,0,0,0,0,0,0,0,1,5,14,12,19,23,41,43,48,35,22,12,2,1
107,65000010007,新北市板橋區,新興里,169,78,89,93,79,72,45,26,21,8,6,4,1,1,0,0,0,0,0,171,66,86,78,59,46,57,38,28,16,14,14,7,1,1,1,1,1,0,0,0,1,15,32,74,78,95,70,66,76,77,34,42,24,14,2,1,0,0,0,2,19,53,85,85,72,75,77,62,71,33,27,12,3,2,0,0,0,0,0,1,9,19,25,18,16,23,19,14,2,2,0,1,1,0,0,0,0,0,1,8,23,24,36,38,32,23,15,5,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,1,6,5,3,4,6,3,2,0,0,0,0,0,0,0,3,5,0,4,8,18,22,28,36,19,10,7,2,0
107,65000010008,新北市板橋區,社後里,318,190,238,270,252,258,211,166,141,105,101,40,31,57,55,9,8,11,5,311,149,214,216,184,150,101,77,57,42,40,28,28,23,13,2,1,0,1,0,0,4,22,62,141,147,157,191,215,242,216,117,61,29,22,5,1,5,0,2,8,22,94,139,136,147,178,248,189,160,70,42,22,3,4,2,3,0,0,0,5,22,47,104,152,149,193,199,106,53,15,2,5,3,0,0,0,0,2,10,31,47,85,91,88,98,82,49,17,7,4,1,0,1,0,0,0,0,0,1,0,0,1,5,13,11,18,11,11,11,2,3,6,2,0,0,0,0,1,1,3,10,22,37,53,62,60,53,36,25,12,3,0
107,65000010009,新北市板橋區,香社里,248,120,157,148,115,113,83,25,32,10,4,4,1,2,0,2,2,0,0,251,108,114,131,72,71,55,43,8,16,12,3,2,0,1,0,0,0,0,0,0,4,12,45,95,98,100,83,135,125,115,62,39,15,8,3,3,0,0,0,7,21,65,110,112,76,112,133,143,103,51,29,5,3,1,0,0,0,0,0,1,5,12,21,26,26,31,13,17,4,1,1,0,1,0,0,0,0,2,5,6,15,17,29,21,27,23,6,4,5,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,3,6,1,3,3,2,0,0,0,0,0,1,0,7,4,5,19,24,40,30,25,19,13,4,3,0
