編號,案類,發生(現)日期,發生時段,發生(現)地點
1,住宅竊盜,780210,10~12,台北市中山區新生北路3段31 ~ 60號
2,住宅竊盜,951016,19~21,台北市信義區三張里莊敬路341巷1 ~ 30號
3,住宅竊盜,970609,01~03,台北市信義區松隆里松山路615巷1 ~ 30號
4,住宅竊盜,990407,04~06,台北市萬華區雙園街61 ~ 90號
5,住宅竊盜,991013,22~24,台北市內湖區成功路4段331 ~ 360號
6,住宅竊盜,991024,13~15,台北市南港區東新里興南街52巷1 ~ 30號
7,住宅竊盜,991116,22~24,台北市信義區松光里松山路465巷31 ~ 60號
8,住宅竊盜,1000101,10~12,台北市大安區龍淵里辛亥路2段171巷6弄1 ~ 30號
9,住宅竊盜,1000825,19~21,台北市大同區民權里民權西路144巷1 ~ 30號
10,住宅竊盜,1001116,19~21,台北市文山區萬年里羅斯福路5段212巷1 ~ 30號
11,住宅竊盜,1010314,07~09,台北市松山區延壽街361 ~ 390號
12,住宅竊盜,1010506,01~03,台北市中山區南京東路2段21巷31 ~ 60號
13,住宅竊盜,1010507,22~24,台北市中山區南京東路2段21巷31 ~ 60號
14,住宅竊盜,1010601,07~09,台北市大安區誠安里忠孝東路3段251巷10弄1 ~ 30號
15,住宅竊盜,1010606,10~12,台北市中山區通北街65巷2弄1 ~ 30號
16,住宅竊盜,1010728,22~24,台北市萬華區萬大路486巷37弄61 ~ 90號
17,住宅竊盜,1010728,22~24,台北市萬華區萬大路486巷37弄61 ~ 90號
18,住宅竊盜,1020101,19~21,台北市大同區雙連里萬全街103巷
19,住宅竊盜,1020108,07~09,台北市中山區吉林路200巷23之1 ~ 30號
20,住宅竊盜,1020320,01~03,台北市中山區民權東路2段92巷1弄1 ~ 30號
21,住宅竊盜,1020321,22~24,台北市中正區龍福里南昌路1段54巷1 ~ 30號
22,住宅竊盜,1020521,10~12,台北市內湖區金豐街31 ~ 60號
23,住宅竊盜,1020715,19~21,台北市內湖區大湖街166巷31 ~ 60號
24,住宅竊盜,1021020,10~12,台北市北投區大屯里大屯路21巷1 ~ 30號
25,住宅竊盜,1021201,10~12,台北市大安區黎孝里和平東路3段308巷1弄1 ~ 30號
26,住宅竊盜,1030101,22~24,台北市中山區建國北路2段121 ~ 150號
27,住宅竊盜,1030102,10~12,台北市文山區景美里育英街1 ~ 30號
28,住宅竊盜,1030915,01~03,台北市萬華區長泰街91 ~ 120號
29,住宅竊盜,1031030,16~18,台北市北投區文化里文化三路91 ~ 120號
30,住宅竊盜,1031124,10~12,台北市中山區建國北路2段258巷1 ~ 30號
31,住宅竊盜,1040101,07~09,台北市中山區新生北路一段91~120號
32,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路四段1~30號
33,住宅竊盜,1040101,22~24,台北市文山區萬美里萬寧街1~30號
34,住宅竊盜,1040101,22~24,台北市信義區富台里忠孝東路五段295巷6弄1~30號
35,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號
36,住宅竊盜,1040102,04~06,台北市萬華區大理街159巷1~30號
37,住宅竊盜,1040102,10~12,台北市中山區吉林路121~150號
38,住宅竊盜,1040102,22~24,台北市士林區天福里1鄰忠誠路二段130巷1~30號
39,住宅竊盜,1040104,10~12,台北市信義區五常里永吉路225巷32弄1~30號
40,住宅竊盜,1040104,10~12,台北市士林區明勝里通河街31 ~ 60號
41,住宅竊盜,1040105,04~06,台北市萬華區糖?里大理街159巷1~30號
42,住宅竊盜,1040105,10~12,台北市北投區吉慶里實踐街56巷1~30號
43,住宅竊盜,1040105,16~18,台北市中正區忠勤里中華路二段311巷1~30號
44,住宅竊盜,1040105,22~24,台北市中山區南京東路三段181~210號
45,住宅竊盜,1040106,04~06,台北市信義區雅祥里基隆路一段1~30號
46,住宅竊盜,1040106,16~18,台北市中正區水源里汀州路三段91~120號
47,住宅竊盜,1040108,07~09,台北市文山區萬美里萬美街一段61~90號
48,住宅竊盜,1040109,10~12,台北市內湖區港華里港華街1~30號
49,住宅竊盜,1040109,13~15,台北市中山區樂群二路91~120號
50,住宅竊盜,1040109,16~18,台北市松山區民權東路三段106巷1~30號
51,住宅竊盜,1040110,04~06,台北市信義區福德街373巷91~120號
52,住宅竊盜,1040111,07~09,台北市萬華區萬大路387巷1~30號
53,住宅竊盜,1040112,07~09,台北市大安區龍雲里4鄰大安路二段132巷1~30號
54,住宅竊盜,1040112,19~21,台北市松山區光復南路22巷31~60號
